WKT,node
"POINT (181.818 10.0 100.182)",186
"POINT (171.717 10.0 100.172)",187
"POINT (161.616 10.0 100.162)",188
"POINT (151.515 10.0 100.152)",189
"POINT (141.414 10.0 100.141)",190
"POINT (131.313 10.0 100.131)",191
"POINT (121.212 10.0 100.121)",192
"POINT (111.111 10.0 100.111)",193
"POINT (101.01 10.0 100.101)",194
"POINT (90.909 10.0 100.091)",195
"POINT (80.808 10.0 100.081)",196
"POINT (70.707 10.0 100.071)",197
"POINT (60.606 10.0 100.061)",198
"POINT (50.505 10.0 100.051)",199
"POINT (40.404 10.0 100.04)",200
"POINT (30.303 10.0 100.03)",201
"POINT (20.202 10.0 100.02)",202
"POINT (10.101 10.0 100.01)",203
"POINT (0.0 7.5 100.0)",204
"POINT (0.0 5.0 100.0)",205
"POINT (0.0 2.5 100.0)",206
"POINT (10.101 2.5 100.01)",207
"POINT (10.101 5.0 100.01)",208
"POINT (10.101 7.5 100.01)",209
"POINT (20.202 2.5 100.02)",210
"POINT (20.202 5.0 100.02)",211
"POINT (20.202 7.5 100.02)",212
"POINT (30.303 2.5 100.03)",213
"POINT (30.303 5.0 100.03)",214
"POINT (30.303 7.5 100.03)",215
"POINT (40.404 2.5 100.04)",216
"POINT (40.404 5.0 100.04)",217
"POINT (40.404 7.5 100.04)",218
"POINT (50.505 2.5 100.051)",219
"POINT (50.505 5.0 100.051)",220
"POINT (50.505 7.5 100.051)",221
"POINT (60.606 2.5 100.061)",222
"POINT (60.606 5.0 100.061)",223
"POINT (60.606 7.5 100.061)",224
"POINT (70.707 2.5 100.071)",225
"POINT (70.707 5.0 100.071)",226
"POINT (70.707 7.5 100.071)",227
"POINT (80.808 2.5 100.081)",228
"POINT (80.808 5.0 100.081)",229
"POINT (80.808 7.5 100.081)",230
"POINT (90.909 2.5 100.091)",231
"POINT (90.909 5.0 100.091)",232
"POINT (90.909 7.5 100.091)",233
"POINT (101.01 2.5 100.101)",234
"POINT (101.01 5.0 100.101)",235
"POINT (101.01 7.5 100.101)",236
"POINT (111.111 2.5 100.111)",237
"POINT (111.111 5.0 100.111)",238
"POINT (111.111 7.5 100.111)",239
"POINT (121.212 2.5 100.121)",240
"POINT (121.212 5.0 100.121)",241
"POINT (121.212 7.5 100.121)",242
"POINT (131.313 2.5 100.131)",243
"POINT (131.313 5.0 100.131)",244
"POINT (131.313 7.5 100.131)",245
"POINT (141.414 2.5 100.141)",246
"POINT (141.414 5.0 100.141)",247
"POINT (141.414 7.5 100.141)",248
"POINT (151.515 2.5 100.152)",249
"POINT (151.515 5.0 100.152)",250
"POINT (151.515 7.5 100.152)",251
"POINT (161.616 2.5 100.162)",252
"POINT (161.616 5.0 100.162)",253
"POINT (161.616 7.5 100.162)",254
"POINT (171.717 2.5 100.172)",255
"POINT (171.717 5.0 100.172)",256
"POINT (171.717 7.5 100.172)",257
"POINT (181.818 2.5 100.182)",258
"POINT (181.818 5.0 100.182)",259
"POINT (181.818 7.5 100.182)",260
"POINT (191.919 2.5 100.192)",261
"POINT (191.919 5.0 100.192)",262
"POINT (191.919 7.5 100.192)",263
"POINT (202.02 2.5 100.202)",264
"POINT (202.02 5.0 100.202)",265
"POINT (202.02 7.5 100.202)",266
"POINT (212.121 2.5 100.212)",267
"POINT (212.121 5.0 100.212)",268
"POINT (212.121 7.5 100.212)",269
"POINT (222.222 2.5 100.222)",270
"POINT (222.222 5.0 100.222)",271
"POINT (222.222 7.5 100.222)",272
"POINT (232.323 2.5 100.232)",273
"POINT (232.323 5.0 100.232)",274
"POINT (232.323 7.5 100.232)",275
"POINT (242.424 2.5 100.242)",276
"POINT (242.424 5.0 100.242)",277
"POINT (242.424 7.5 100.242)",278
"POINT (252.525 2.5 100.253)",279
"POINT (252.525 5.0 100.253)",280
"POINT (252.525 7.5 100.253)",281
"POINT (262.626 2.5 100.263)",282
"POINT (262.626 5.0 100.263)",283
"POINT (262.626 7.5 100.263)",284
"POINT (272.727 2.5 100.273)",285
"POINT (272.727 5.0 100.273)",286
"POINT (272.727 7.5 100.273)",287
"POINT (282.828 2.5 100.283)",288
"POINT (282.828 5.0 100.283)",289
"POINT (282.828 7.5 100.283)",290
"POINT (292.929 2.5 100.293)",291
"POINT (292.929 5.0 100.293)",292
"POINT (292.929 7.5 100.293)",293
"POINT (303.03 2.5 100.303)",294
"POINT (303.03 5.0 100.303)",295
"POINT (303.03 7.5 100.303)",296
"POINT (313.131 2.5 100.313)",297
"POINT (313.131 5.0 100.313)",298
"POINT (313.131 7.5 100.313)",299
"POINT (323.232 2.5 100.323)",300
"POINT (323.232 5.0 100.323)",301
"POINT (323.232 7.5 100.323)",302
"POINT (333.333 2.5 100.333)",303
"POINT (333.333 5.0 100.333)",304
"POINT (333.333 7.5 100.333)",305
"POINT (343.434 2.5 100.343)",306
"POINT (343.434 5.0 100.343)",307
"POINT (343.434 7.5 100.343)",308
"POINT (353.535 2.5 100.354)",309
"POINT (353.535 5.0 100.354)",310
"POINT (353.535 7.5 100.354)",311
"POINT (363.636 2.5 100.364)",312
"POINT (363.636 5.0 100.364)",313
"POINT (363.636 7.5 100.364)",314
"POINT (373.737 2.5 100.374)",315
"POINT (373.737 5.0 100.374)",316
"POINT (373.737 7.5 100.374)",317
"POINT (383.838 2.5 100.384)",318
"POINT (383.838 5.0 100.384)",319
"POINT (383.838 7.5 100.384)",320
"POINT (393.939 2.5 100.394)",321
"POINT (393.939 5.0 100.394)",322
"POINT (393.939 7.5 100.394)",323
"POINT (404.04 2.5 100.404)",324
"POINT (404.04 5.0 100.404)",325
"POINT (404.04 7.5 100.404)",326
"POINT (414.141 2.5 100.414)",327
"POINT (414.141 5.0 100.414)",328
"POINT (414.141 7.5 100.414)",329
"POINT (424.242 2.5 100.424)",330
"POINT (424.242 5.0 100.424)",331
"POINT (424.242 7.5 100.424)",332
"POINT (434.343 2.5 100.434)",333
"POINT (434.343 5.0 100.434)",334
"POINT (434.343 7.5 100.434)",335
"POINT (444.444 2.5 100.444)",336
"POINT (444.444 5.0 100.444)",337
"POINT (444.444 7.5 100.444)",338
"POINT (454.545 2.5 100.455)",339
"POINT (454.545 5.0 100.455)",340
"POINT (454.545 7.5 100.455)",341
"POINT (464.646 2.5 100.465)",342
"POINT (464.646 5.0 100.465)",343
"POINT (464.646 7.5 100.465)",344
"POINT (474.747 2.5 100.475)",345
"POINT (474.747 5.0 100.475)",346
"POINT (474.747 7.5 100.475)",347
"POINT (484.848 2.5 100.485)",348
"POINT (484.848 5.0 100.485)",349
"POINT (484.848 7.5 100.485)",350
"POINT (494.949 2.5 100.495)",351
"POINT (494.949 5.0 100.495)",352
"POINT (494.949 7.5 100.495)",353
"POINT (505.051 2.5 100.505)",354
"POINT (505.051 5.0 100.505)",355
"POINT (505.051 7.5 100.505)",356
"POINT (515.152 2.5 100.515)",357
"POINT (515.152 5.0 100.515)",358
"POINT (515.152 7.5 100.515)",359
"POINT (525.253 2.5 100.525)",360
"POINT (525.253 5.0 100.525)",361
"POINT (525.253 7.5 100.525)",362
"POINT (535.354 2.5 100.535)",363
"POINT (535.354 5.0 100.535)",364
"POINT (535.354 7.5 100.535)",365
"POINT (545.455 2.5 100.545)",366
"POINT (545.455 5.0 100.545)",367
"POINT (545.455 7.5 100.545)",368
"POINT (555.556 2.5 100.556)",369
"POINT (555.556 5.0 100.556)",370
"POINT (555.556 7.5 100.556)",371
"POINT (565.657 2.5 100.566)",372
"POINT (565.657 5.0 100.566)",373
"POINT (565.657 7.5 100.566)",374
"POINT (575.758 2.5 100.576)",375
"POINT (575.758 5.0 100.576)",376
"POINT (575.758 7.5 100.576)",377
"POINT (585.859 2.5 100.586)",378
"POINT (585.859 5.0 100.586)",379
"POINT (585.859 7.5 100.586)",380
"POINT (595.96 2.5 100.596)",381
"POINT (595.96 5.0 100.596)",382
"POINT (595.96 7.5 100.596)",383
"POINT (606.061 2.5 100.606)",384
"POINT (606.061 5.0 100.606)",385
"POINT (606.061 7.5 100.606)",386
"POINT (616.162 2.5 100.616)",387
"POINT (616.162 5.0 100.616)",388
"POINT (616.162 7.5 100.616)",389
"POINT (626.263 2.5 100.626)",390
"POINT (626.263 5.0 100.626)",391
"POINT (626.263 7.5 100.626)",392
"POINT (636.364 2.5 100.636)",393
"POINT (636.364 5.0 100.636)",394
"POINT (636.364 7.5 100.636)",395
"POINT (646.465 2.5 100.646)",396
"POINT (646.465 5.0 100.646)",397
"POINT (646.465 7.5 100.646)",398
"POINT (656.566 2.5 100.657)",399
"POINT (656.566 5.0 100.657)",400
"POINT (656.566 7.5 100.657)",401
"POINT (666.667 2.5 100.667)",402
"POINT (666.667 5.0 100.667)",403
"POINT (666.667 7.5 100.667)",404
"POINT (676.768 2.5 100.677)",405
"POINT (676.768 5.0 100.677)",406
"POINT (676.768 7.5 100.677)",407
"POINT (686.869 2.5 100.687)",408
"POINT (686.869 5.0 100.687)",409
"POINT (686.869 7.5 100.687)",410
"POINT (696.97 2.5 100.697)",411
"POINT (696.97 5.0 100.697)",412
"POINT (696.97 7.5 100.697)",413
"POINT (707.071 2.5 100.707)",414
"POINT (707.071 5.0 100.707)",415
"POINT (707.071 7.5 100.707)",416
"POINT (717.172 2.5 100.717)",417
"POINT (717.172 5.0 100.717)",418
"POINT (717.172 7.5 100.717)",419
"POINT (727.273 2.5 100.727)",420
"POINT (727.273 5.0 100.727)",421
"POINT (727.273 7.5 100.727)",422
"POINT (737.374 2.5 100.737)",423
"POINT (737.374 5.0 100.737)",424
"POINT (737.374 7.5 100.737)",425
"POINT (747.475 2.5 100.747)",426
"POINT (747.475 5.0 100.747)",427
"POINT (747.475 7.5 100.747)",428
"POINT (757.576 2.5 100.758)",429
"POINT (757.576 5.0 100.758)",430
"POINT (757.576 7.5 100.758)",431
"POINT (767.677 2.5 100.768)",432
"POINT (767.677 5.0 100.768)",433
"POINT (767.677 7.5 100.768)",434
"POINT (777.778 2.5 100.778)",435
"POINT (777.778 5.0 100.778)",436
"POINT (777.778 7.5 100.778)",437
"POINT (787.879 2.5 100.788)",438
"POINT (787.879 5.0 100.788)",439
"POINT (787.879 7.5 100.788)",440
"POINT (797.98 2.5 100.798)",441
"POINT (797.98 5.0 100.798)",442
"POINT (797.98 7.5 100.798)",443
"POINT (808.081 2.5 100.808)",444
"POINT (808.081 5.0 100.808)",445
"POINT (808.081 7.5 100.808)",446
"POINT (818.182 2.5 100.818)",447
"POINT (818.182 5.0 100.818)",448
"POINT (818.182 7.5 100.818)",449
"POINT (828.283 2.5 100.828)",450
"POINT (828.283 5.0 100.828)",451
"POINT (828.283 7.5 100.828)",452
"POINT (838.384 2.5 100.838)",453
"POINT (838.384 5.0 100.838)",454
"POINT (838.384 7.5 100.838)",455
"POINT (848.485 2.5 100.848)",456
"POINT (848.485 5.0 100.848)",457
"POINT (848.485 7.5 100.848)",458
"POINT (858.586 2.5 100.859)",459
"POINT (858.586 5.0 100.859)",460
"POINT (858.586 7.5 100.859)",461
"POINT (868.687 2.5 100.869)",462
"POINT (868.687 5.0 100.869)",463
"POINT (868.687 7.5 100.869)",464
"POINT (878.788 2.5 100.879)",465
"POINT (878.788 5.0 100.879)",466
"POINT (878.788 7.5 100.879)",467
"POINT (888.889 2.5 100.889)",468
"POINT (888.889 5.0 100.889)",469
"POINT (888.889 7.5 100.889)",470
"POINT (898.99 2.5 100.899)",471
"POINT (898.99 5.0 100.899)",472
"POINT (898.99 7.5 100.899)",473
"POINT (909.091 2.5 100.909)",474
"POINT (909.091 5.0 100.909)",475
"POINT (909.091 7.5 100.909)",476
"POINT (919.192 2.5 100.919)",477
"POINT (919.192 5.0 100.919)",478
"POINT (919.192 7.5 100.919)",479
"POINT (929.293 2.5 100.929)",480
"POINT (929.293 5.0 100.929)",481
"POINT (929.293 7.5 100.929)",482
"POINT (939.394 2.5 100.939)",483
"POINT (939.394 5.0 100.939)",484
"POINT (939.394 7.5 100.939)",485
"POINT (949.495 2.5 100.949)",486
"POINT (949.495 5.0 100.949)",487
"POINT (949.495 7.5 100.949)",488
"POINT (959.596 2.5 100.96)",489
"POINT (959.596 5.0 100.96)",490
"POINT (959.596 7.5 100.96)",491
"POINT (969.697 2.5 100.97)",492
"POINT (969.697 5.0 100.97)",493
"POINT (969.697 7.5 100.97)",494
"POINT (979.798 2.5 100.98)",495
"POINT (979.798 5.0 100.98)",496
"POINT (979.798 7.5 100.98)",497
"POINT (989.899 2.5 100.99)",498
"POINT (989.899 5.0 100.99)",499
"POINT (989.899 7.5 100.99)",500
